transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,transformed_nss,transformed_ig
Compression_2,37,0.8174427787365919,0.9942496223426994,0.0046668244,1.0490589,0.4046887,1.5812901,-1.097713
Compression_2,38,0.8066272674284202,0.9823378445779385,0.018640777,1.9947346,0.2895739,2.1401365,-0.2592999
Compression_2,39,0.7772498001209218,0.9826776314926409,0.022396347,1.8483152,0.013370438,1.719966,0.14280406
Compression_2,40,0.7763363361467168,0.9893164642552619,0.008458696,1.2861571,-0.5230975,1.3510728,-0.44096315
Compression_2,41,0.7083267421280763,0.9911762456533325,0.007407717,1.4629159,-0.37620324,1.6714935,0.084646955
Compression_2,42,0.9281327549403667,0.9849512291532564,0.044987336,3.2537658,0.32767105,2.172121,-0.1490401
Compression_2,43,0.6995360684957244,0.9585028685663699,0.029800232,0.66605604,-0.72528666,1.0414752,-0.38579455
Compression_2,44,0.9172884945174783,0.9805494182242227,0.023979262,2.815398,0.55162686,2.7994964,0.26321048
Compression_2,45,0.7182307196993557,0.9814845881102608,0.022656536,0.98389685,-0.41013524,0.9604772,-0.42298794
Compression_2,46,0.6653246999021976,0.984082985602418,0.021029387,0.88162607,-0.6433479,0.9835267,-0.7564676
